bacteria,phage,bhr
LESB58,CPL00161,0
LES400,CPL00161,0
LES431,CPL00161,0
C3719,CPL00161,0
DK2,CPL00161,0
AES-1R,CPL00161,0
AUS23,CPL00161,1
AUS52,CPL00161,0
AA2,CPL00161,0
AA43,CPL00161,0
AA44,CPL00161,1
AMT0023-30,CPL00161,0
AMT0023-34,CPL00161,0
AMT0060-1,CPL00161,1
AMT0060-2,CPL00161,1
AMT0060-3,CPL00161,1
PAO1,CPL00161,1
PAK,CPL00161,0
CHA,CPL00161,1
NN2,CPL00161,0
IST27-Mucoid,CPL00161,0
IST27-Non_Mucoid,CPL00161,0
968333S,CPL00161,0
679,CPL00161,0
39016,CPL00161,0
2192,CPL00161,0
NH57388A,CPL00161,0
1709-12,CPL00161,0
LESB58,CPL00283,1
LES400,CPL00283,1
LES431,CPL00283,1
C3719,CPL00283,1
DK2,CPL00283,1
AES-1R,CPL00283,1
AUS23,CPL00283,1
AUS52,CPL00283,1
AA2,CPL00283,0
AA43,CPL00283,0
AA44,CPL00283,1
AMT0023-30,CPL00283,1
AMT0023-34,CPL00283,1
AMT0060-1,CPL00283,1
AMT0060-2,CPL00283,0
AMT0060-3,CPL00283,0
PAO1,CPL00283,1
PAK,CPL00283,1
CHA,CPL00283,1
NN2,CPL00283,0
IST27-Mucoid,CPL00283,1
IST27-Non_Mucoid,CPL00283,1
968333S,CPL00283,1
679,CPL00283,1
39016,CPL00283,0
2192,CPL00283,1
NH57388A,CPL00283,1
1709-12,CPL00283,0
LESB58,CPL01631,1
LES400,CPL01631,0
LES431,CPL01631,0
C3719,CPL01631,0
DK2,CPL01631,0
AES-1R,CPL01631,1
AUS23,CPL01631,0
AUS52,CPL01631,0
AA2,CPL01631,1
AA43,CPL01631,1
AA44,CPL01631,1
AMT0023-30,CPL01631,0
AMT0023-34,CPL01631,1
AMT0060-1,CPL01631,0
AMT0060-2,CPL01631,0
AMT0060-3,CPL01631,1
PAO1,CPL01631,1
PAK,CPL01631,0
CHA,CPL01631,1
NN2,CPL01631,0
IST27-Mucoid,CPL01631,0
IST27-Non_Mucoid,CPL01631,0
968333S,CPL01631,1
679,CPL01631,1
39016,CPL01631,0
2192,CPL01631,1
NH57388A,CPL01631,1
1709-12,CPL01631,0
LESB58,CPL01632,0
LES400,CPL01632,0
LES431,CPL01632,0
C3719,CPL01632,0
DK2,CPL01632,0
AES-1R,CPL01632,0
AUS23,CPL01632,0
AUS52,CPL01632,1
AA2,CPL01632,0
AA43,CPL01632,0
AA44,CPL01632,0
AMT0023-30,CPL01632,0
AMT0023-34,CPL01632,0
AMT0060-1,CPL01632,0
AMT0060-2,CPL01632,0
AMT0060-3,CPL01632,1
PAO1,CPL01632,0
PAK,CPL01632,0
CHA,CPL01632,0
NN2,CPL01632,0
IST27-Mucoid,CPL01632,0
IST27-Non_Mucoid,CPL01632,0
968333S,CPL01632,0
679,CPL01632,0
39016,CPL01632,0
2192,CPL01632,0
NH57388A,CPL01632,0
1709-12,CPL01632,0
LESB58,CPL00215,1
LES400,CPL00215,0
LES431,CPL00215,0
C3719,CPL00215,0
DK2,CPL00215,0
AES-1R,CPL00215,0
AUS23,CPL00215,1
AUS52,CPL00215,0
AA2,CPL00215,0
AA43,CPL00215,0
AA44,CPL00215,0
AMT0023-30,CPL00215,0
AMT0023-34,CPL00215,0
AMT0060-1,CPL00215,1
AMT0060-2,CPL00215,1
AMT0060-3,CPL00215,1
PAO1,CPL00215,1
PAK,CPL00215,0
CHA,CPL00215,0
NN2,CPL00215,0
IST27-Mucoid,CPL00215,0
IST27-Non_Mucoid,CPL00215,0
968333S,CPL00215,1
679,CPL00215,0
39016,CPL00215,0
2192,CPL00215,0
NH57388A,CPL00215,1
1709-12,CPL00215,0
