method,activity,start_hour,end_hour,hours taken,initial_time,start_date,end_date
DST Assay (96 phages:1 host),Receive Isolates,1,2,1,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Obtain Single Isolates,2,18,16,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Validate Phage Stocks,1,18,17,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Biobank Isolates,18,19,1,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Grow Isolates,22,25,3,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Create Bacterial Lawn,24.5,25,0.5,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Ready Phage Stocks,24,24.5,0.5,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Perform Spot Assay,25,25.333,0.333,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Incubate Overnight,25.333,41.333,16,05/01/2026 00:00,,
DST Assay (96 phages:1 host),Interpret & Report,41.33,41.663,0.333,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Receive Isolates,1,2,1,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Obtain Single Isolates,2,18,16,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Validate Phage Stocks,1,18,17,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Biobank Isolates,18,19,1,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Grow Isolates,18,21,3,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Prepare Microtitre Plate,20,21,1,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Incubate Overnight,21,45,24,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Data Analysis,45,46,1,05/01/2026 00:00,,
PKA; Undefined MOI (54 phages:host),Interpret & Report,46,46.333,0.333,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Receive Isolates,1,2,1,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Obtain Single Isolates,2,18,16,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Validate Phage Stocks,1,18,17,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Biobank Isolates,18,19,1,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Grow Isolates,22,25,3,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Create Bacterial Lawn,24.5,25,0.5,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Ready Phage Stocks,24,24.5,0.5,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Perform Spot Assay,25,25.333,0.333,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Incubate Overnight,25.333,41.333,16,05/01/2026 00:00,,
EOP Assay (12 phages:1 host),Interpret & Report,41.333,41.666,0.333,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Receive Isolates,1,2,1,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Obtain Single Isolates,2,18,16,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Titre Phage Stocks,1,18,17,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Biobank Isolates,18,19,1,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Grow Isolates for Enumeration,21,24,3,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Enumerate Bacteria,24,41,17,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Grow Isolates for PKA,41,44,3,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Adjust Phage Stocks to MOI,41,43,2,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Prepare Microtitre Plate,43.5,44,0.5,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Incubate Overnight,44,68,24,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Data Analysis,68,69,1,05/01/2026 00:00,,
PKA; Defined MOI (54 phages:host),Interpret & Report,69,69.333,0.333,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Receive Isolates,1,2,1,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Obtain Isolation Host Isolates,2,18,16,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Obtain Single Isolates,2,18,16,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Titre Phage Stocks,1,18,17,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Biobank Isolates,18,19,1,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Grow Bacteria Overnight,25,41,16,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Set-up 1: Reagents,40.5,41,0.5,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Reaction Set Up (LH),41,41.167,0.167,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Incubation,41.167,46.167,5,05/01/2026 00:00,,
Better Host Range (1 phage:28 hosts),Grow Isolation Host,46,49,3,05/01/2026 00:00,,
